type bsdf_data
format angles=deg bsdf=value scale=1
angles measured from local surface normal
AOI	0	deg.
FRED TIS integral (0-1)	6.22020540825502E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=0) [1/sr]
0	0	65	120	1.36734869769753E-02
0	0	70	120	1.30091179148375E-02
0	0	75	120	1.23315559943984E-02
0	0	80	120	1.17468928408594E-02
0	0	85	120	1.13531062774554E-02
0	0	89.9	120	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=130) [1/sr]
0	0	0	130	5.17171102709215E-02
0	0	5	130	4.98427365665022E-02
0	0	10	130	4.48730745721279E-02
0	0	15	130	3.83434111521795E-02
0	0	20	130	3.18098153881477E-02
0	0	25	130	2.62611790898878E-02
0	0	30	130	2.20489496959823E-02
0	0	35	130	1.91078823302896E-02
0	0	40	130	1.71907792806719E-02
0	0	45	130	1.60063846925366E-02
0	0	50	130	1.52753213411566E-02
0	0	55	130	0.014753026049311
0	0	60	130	1.42529896291088E-02
0	0	65	130	1.36734869769753E-02
0	0	70	130	1.30091179148375E-02
0	0	75	130	1.23315559943983E-02
0	0	80	130	1.17468928408594E-02
0	0	85	130	1.13531062774553E-02
0	0	89.9	130	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=140) [1/sr]
0	0	0	140	5.17171102709215E-02
0	0	5	140	4.98427365665022E-02
0	0	10	140	4.48730745721279E-02
0	0	15	140	3.83434111521795E-02
0	0	20	140	3.18098153881477E-02
0	0	25	140	2.62611790898878E-02
0	0	30	140	2.20489496959823E-02
0	0	35	140	1.91078823302896E-02
0	0	40	140	1.71907792806719E-02
0	0	45	140	1.60063846925366E-02
0	0	50	140	1.52753213411566E-02
0	0	55	140	0.014753026049311
0	0	60	140	1.42529896291088E-02
0	0	65	140	1.36734869769753E-02
0	0	70	140	1.30091179148375E-02
0	0	75	140	1.23315559943984E-02
0	0	80	140	1.17468928408594E-02
0	0	85	140	1.13531062774554E-02
0	0	89.9	140	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=150) [1/sr]
0	0	0	150	5.17171102709215E-02
0	0	5	150	4.98427365665022E-02
0	0	10	150	4.48730745721279E-02
0	0	15	150	3.83434111521795E-02
0	0	20	150	3.18098153881477E-02
0	0	25	150	2.62611790898878E-02
0	0	30	150	2.20489496959823E-02
0	0	35	150	1.91078823302896E-02
0	0	40	150	1.71907792806719E-02
0	0	45	150	1.60063846925366E-02
0	0	50	150	1.52753213411566E-02
0	0	55	150	1.47530260493109E-02
0	0	60	150	1.42529896291088E-02
0	0	65	150	1.36734869769753E-02
0	0	70	150	1.30091179148375E-02
0	0	75	150	1.23315559943984E-02
0	0	80	150	1.17468928408594E-02
0	0	85	150	1.13531062774553E-02
0	0	89.9	150	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=160) [1/sr]
0	0	0	160	5.17171102709215E-02
0	0	5	160	4.98427365665022E-02
0	0	10	160	4.48730745721279E-02
0	0	15	160	3.83434111521795E-02
0	0	20	160	3.18098153881477E-02
0	0	25	160	2.62611790898878E-02
0	0	30	160	2.20489496959823E-02
0	0	35	160	1.91078823302895E-02
0	0	40	160	1.71907792806719E-02
0	0	45	160	1.60063846925366E-02
0	0	50	160	1.52753213411566E-02
0	0	55	160	1.47530260493109E-02
0	0	60	160	1.42529896291088E-02
0	0	65	160	1.36734869769753E-02
0	0	70	160	1.30091179148375E-02
0	0	75	160	1.23315559943984E-02
0	0	80	160	1.17468928408594E-02
0	0	85	160	1.13531062774553E-02
0	0	89.9	160	1.12146035415456E-02
